,0a) Mitglied im DVE,1a) Alter,1b) Berufserfahrung,1c) Geschlecht,1d) Arbeitsort,1e) Höchster Berufsabschluss,2a) Status Hauptarbeitsverhältnis,2b) Grund für Teilzeit- oder geringfügige Beschäftigung,2c) Beschäftigung in einer Zeitarbeitsfirma/ als Leiharbeitnehmer:in,3a) Befristetes Arbeitsverhältnis,"4a) Leitungsfunktion, mit Personalverantwortung",4b) Verantwortung für,4c) Umfang der Leitungstätigkeit durch Arbeitgeber,5a) Arbeitgeber/ Einrichtungsart,5b) Fachlicher Schwerpunkt,6a) Meine vertraglich festgelegte Wochenarbeitszeit beträgt,6b) Ich arbeite auch am...,6c) Wenn Sie Sonn- und Feiertagsdienste machen – gibt es Zuschläge bei der Vergütung?,7a) Wie erfolgt der Ausgleich von Überstunden?,7b) Leisten Sie regelmäßig Überstunden?,8a) Ich habe in den letzten 12 Monaten mindestens eine externe berufsbezogene Fortbildung wahrgenommen (inkl. Onlineangeboten),8b) Freistellung,8c) Kostenübernahme durch den Arbeitgeber,8d) regelmäßige Teilnahme an externer/ extern begleiteter Supervision (vom Arbeitgeber finanziert),9a) Gehaltsform,9b) Tarif,9c) Höhe des monatlichen Gesamtbruttogehalts* (beim Hauptarbeitgeber),10a) Risiko des Therapieausfalles,11a) Die Dauer einer Therapieeinheit orientiert sich an,"11b) Wieviel Zeit Ihrer Arbeitszeit (Angaben in %) steht Ihnen für Aufgaben wie Teambesprechungen, Dokumentation, Fahrzeit zu Hausbesuchen, Telefonate, Aufräumarbeiten, Vor-/Nachbereitung der Therapie, Praktikumsanleitung, etc. in etwa zur Verfügung?",12a) Nicht als Arbeitszeit gerechnete und nicht vergütete Arbeitsleistungen am Arbeitsplatz,12b) Der Umfang dieser nicht vergüteten Leistungen beträgt etwa (in Wochenstunden),13a) Ich arbeite zusätzlich zu meinem Hauptarbeitsverhältnis,13b) Intention der Nebentätigkeit,14a) An meiner Arbeitsstelle gibt es eine Interessensvertretung,14b) Ich bin Mitglied in einer Gewerkschaft,"15a) größere strukturelle Veränderungen, wie beispielsweise Eigentümerwechsel, Konzernbildung, usw.",15b 2)Stehen die angegebenen „wesentlichen Veränderungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15b) Wesentliche Verschlechterungen der Arbeitsbedingungen in den letzten 2 Jahren,15c 2)Stehen die angegebene „wesentlichen Verbesserungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15c) Wesentliche Verbesserungen der Arbeitsbedingungen in den letzten 2 Jahren,18a) Welche Serviceleistungen des DVE für Angestellte sind Ihnen bekannt?,18b) Welche Serviceleistungen des DVE für Angestellte haben Sie im letzten Jahren genutzt?,Anzahl aller wahrgenommen Fortbildungstage in den letzten 12 Monaten,Anzahl der Freistellungstage,Anzahl der Freistellungstage,Anzahl der Freistellungstage,Anzahl der Freistellungstage,Minuten bei Einzeltherapie,Minuten bei Gruppentherapie,Wie beurteilen Sie das Betriebsklima in Ihrer Einrichtung insgesamt? Bewerten Sie auf einer Skala von 1 (nahezu unerträglich) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit Vorgesetzen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit den Kolleg:innen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie zufrieden sind Sie insgesamt mit Ihrer aktuellen Arbeitssituation? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,Wie zufrieden sind Sie mit diesen Leistungen gewesen? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,"nicht vertraglich festgelegt (flexibel nach Bedarf), ca.: 1-40 Wochenstunden",vertraglich festgelegt (1-40) Wochenstunden
95,nein,30 - 39 Jahre,7 - 10 Jahre,weiblich,Niedersachsen,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Palliativversorgung', ' Pädiatrie']",30,[' trifft nicht zu'],,Ausgleich über Bezahlung,ja,ja,nein,ja,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,"nein, frei verhandelt","2000,-  –  2249,- €",Risiko trägt die/der Arbeitnehmer,der Heilmittel-Richtlinie,15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' Personalabbau']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],3.0,,,,,,,6,10,4,9,4,,
96,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Hessen,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Neurologie', ' Pädiatrie']",30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,ja,Festgehalt,"nein, frei verhandelt","2250,-  –  2499,- €",Risiko trägt die/der Arbeitnehmer,der Heilmittel-Richtlinie,25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']","[' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",4.0,4.0,4.0,4.0,4.0,,,9,9,9,9,9,,
97,ja,50 - 59 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/ Therapiezentrum (Kassenzulassung),"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",38,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,nein,,,nein,Festgehalt,Haustarifvertrag,"3250,-  –  3499,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,,[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],,,,,,,,9,10,9,8,8,,
98,ja,20 - 29 Jahre,bis 2 Jahre,männlich,Sachsen,Berufsfachschule,Teilzeit (weniger als 35/ Woche),ich keine Vollzeitstelle bekommen habe,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",15,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,Haustarifvertrag,"1000,-  –  1249,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,fachfremd,ja,nein,nein,nein,nein,[' anderes Patientenklientel'],nein,[' mehr Personal'],"[' Broschüre Arbeitsrecht', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],,,,,,,,9,10,10,8,8,,
99,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Bayern,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,ja,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",40,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,ja,nein,Festgehalt,"nein, frei verhandelt","3250,-  –  3499,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",3.0,,,,,,,8,9,9,9,7,5.0,
100,ja,20 - 29 Jahre,bis 2 Jahre,weiblich,Hessen,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,ja,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),[' Pädiatrie'],35,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,nein,ja,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",Risiko trägt die/der Arbeitnehmer,der Heilmittel-Richtlinie,10 %,[' Aufräum-/Reinigungsarbeiten'],2.0,als Ergotherapeut,ja,nein,nein,ja,nein,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' Personalabbau', ' anderes Patientenklientel']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],2.0,,,,,,,6,3,8,5,8,,
101,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",20,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","521,-  –  999,- €",Risiko trägt die/der Arbeitnehmer,der Heilmittel-Richtlinie,5 %,[' Aufräum-/Reinigungsarbeiten'],1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],7.0,,,,,,,6,6,8,4,5,,
102,ja,60 plus Jahre,über 20 Jahre,weiblich,Berlin,Master,Vollzeit (ab 35h/ Woche),,nein,nein,trifft für mich nicht zu,,,Schule für Ergotherapie/ Hochschule,"[' Arbeitstherapie', ' Prävention und Gesundheitsförderung', ' Psychiatrie/Sucht/Forensik']",40,[' trifft nicht zu'],,nicht geregelt,nein,ja,ja,teilweise,nein,Festgehalt,"nein, frei verhandelt","über 3500,-€",trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,"[' anderes Patientenklientel', ' trifft für mich nicht zu / keine Veränderungen']","[' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],1.0,1.0,1.0,1.0,1.0,,,7,6,7,8,10,,
103,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Sachsen-Anhalt,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Palliativversorgung', ' Pädiatrie', ' Prävention und Gesundheitsförderung', ' Psychiatrie/Sucht/Forensik']",40,[' trifft nicht zu'],,nicht geregelt,ja,ja,ja,ja,nein,Festgehalt,Haustarifvertrag,"2750,-  –  2999,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,Ich bekommen keine Zeit zur Verfügung gestellt,"[' Dokumentation/Berichte schreiben', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Vor- und Nachbereiten der Therapie']",5.0,fachfremd,ja,nein,nein,nein,ja,[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Newsletter des Fachausschuss für Angestellte'],[' Newsletter des Fachausschuss für Angestellte'],1.0,1.0,1.0,1.0,1.0,,,6,3,6,4,1,,
104,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Hamburg,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Pädiatrie']",36,[' trifft nicht zu'],,nicht geregelt,ja,nein,,,ja,Festgehalt,Haustarifvertrag,"2250,-  –  2499,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,10 %,[' Aufräum-/Reinigungsarbeiten'],1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,"[' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Stellenbeschreibung', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],,,,,,,,5,9,7,6,8,,
105,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Bayern,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",30,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2250,-  –  2499,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,5 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,,"[' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],10.0,4.0,4.0,4.0,4.0,,,10,10,10,10,8,1.0,
106,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,nein,Abteilungs-/ Teamleitung (Institution),6 - 10 Mitarbeiter,in zur Verfügung gestellte,(Akut-)Krankenhaus,"[' Geriatrie', ' Neurologie']",32,"[' feiertags', ' samstags', ' sonntags']",JA,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,TVöD,"über 3500,-€",Risiko trägt die/der Arbeitgeber,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),10 %,"[' Aufräum-/Reinigungsarbeiten', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Vor- und Nachbereiten der Therapie']",2.0,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' Ausweitung der Arbeitszeit (ab 18 Uhr, Samstag/Sonntag)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle'],6.0,,,,,30.0,30.0,7,8,8,8,7,6.0,
107,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Bayern,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",40,"[' feiertags', ' samstags', ' sonntags']",JA,wahlweise Freizeit/Bezahlung,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","1750,-  –  1999,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,5 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,"[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)', ' Ausweitung der Arbeitszeit (ab 18 Uhr, Samstag/Sonntag)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle'],[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle'],30.0,,,,,,,5,5,5,3,6,,
108,nein,20 - 29 Jahre,bis 2 Jahre,weiblich,Sachsen,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",30,[' trifft nicht zu'],,nicht geregelt,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,40 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Stellenbeschreibung', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",3.0,2.0,2.0,2.0,2.0,,,9,7,10,10,5,,
109,nein,30 - 39 Jahre,3 - 6 Jahre,weiblich,Niedersachsen,Bachelor / Diplom,Vollzeit (ab 35h/ Woche),,nein,nein,Abteilungs-/ Teamleitung (Institution),über 10 Mitarbeiter,in zur Verfügung gestellte,,"[' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",40,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,TVöD,"3250,-  –  3499,- €",Risiko trägt die/der Arbeitgeber,trifft für mich nicht zu (z.B. als Lehrende/r),15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)', ' mehr Personal']","[' Broschüre Arbeitsrecht', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage']",[' Broschüre Arbeitsrecht'],3.0,3.0,3.0,3.0,3.0,,,10,9,10,10,6,5.0,
110,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Hamburg,Bachelor / Diplom,Vollzeit (ab 35h/ Woche),,nein,nein,trifft für mich nicht zu,,,Kindergarten/ Schule,[' Pädiatrie'],35,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,ja,ja,teilweise,nein,Festgehalt,TVöD,"3000,-  –  3249,- €",trifft für mich nicht zu,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,"ja, ver.di",nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],5.0,5.0,5.0,5.0,5.0,60.0,0.0,8,7,8,7,8,,
111,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Berlin,Berufsfachschule,Vollzeit (ab 35h/ Woche),,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/ Therapiezentrum (Kassenzulassung),"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Psychiatrie/Sucht/Forensik']",35,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,nein,ja,nein,Festgehalt,"nein, frei verhandelt","3250,-  –  3499,- €",Risiko trägt die/der Arbeitgeber,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),5 %,[' Vor- und Nachbereiten der Therapie'],3.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,[' Arbeitsverdichtung (mehr Pat. in der gleichen Arbeitszeit)'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],2.0,,,,,30.0,0.0,9,7,10,8,5,,
112,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Hamburg,Berufsfachschule,Teilzeit (weniger als 35/ Woche),aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/ Therapiezentrum (Kassenzulassung),"[' Neurologie', ' Psychiatrie/Sucht/Forensik']",25,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2250,-  –  2499,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,fachfremd,ja,nein,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 18:00-20:00 Uhr)']",3.0,3.0,3.0,3.0,3.0,,,7,8,7,8,4,,
113,nein,30 - 39 Jahre,7 - 10 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit (weniger als 35/ Woche),dies ist aus familiären/persönlichen Gründen (z.B. Studium) von mir gewünscht,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,"[' Arbeitstherapie', ' Psychiatrie/Sucht/Forensik']",21,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,nein,,,nein,Festgehalt,TVöD,"1500,-  –  1749,- €",Risiko trägt die/der Arbeitgeber,der Heilmittel-Richtlinie,30 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,[' trifft für mich nicht zu / keine Veränderungen'],nein,[' mehr Personal'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],,,,,,,,7,7,8,8,8,,
