,0a) Mitglied im DVE,1a) Alter,1b) Berufserfahrung,1c) Geschlecht,1d) Arbeitsort,1e) Höchster Berufsabschluss,2a) Status Hauptarbeitsverhältnis,2b) Grund für Teilzeit- oder geringfügige Beschäftigung,2c) Beschäftigung in einer Zeitarbeitsfirma/ als Leiharbeitnehmer:in,3a) Befristetes Arbeitsverhältnis,"4a) Leitungsfunktion, mit Personalverantwortung",4b) Verantwortung für,4c) Umfang der Leitungstätigkeit durch Arbeitgeber,5a) Arbeitgeber/ Einrichtungsart,5b) Fachlicher Schwerpunkt,6a) Meine vertraglich festgelegte Wochenarbeitszeit beträgt,6b) Ich arbeite auch am...,6c) Wenn Sie Sonn- und Feiertagsdienste machen – gibt es Zuschläge bei der Vergütung?,7a) Wie erfolgt der Ausgleich von Überstunden?,7b) Leisten Sie regelmäßig Überstunden?,8a) Ich habe in den letzten 12 Monaten mindestens eine externe berufsbezogene Fortbildung wahrgenommen (inkl. Onlineangeboten),8b) Freistellung,8c) Kostenübernahme durch den Arbeitgeber,8d) regelmäßige Teilnahme an externer/ extern begleiteter Supervision (vom Arbeitgeber finanziert),9a) Gehaltsform,9b) Tarif,9c) Höhe des monatlichen Gesamtbruttogehalts* (beim Hauptarbeitgeber),10. Risiko des Therapieausfalles:Risiko trägt AG,10. Risiko des Therapieausfalles:Risiko trägt AN,10a) Risiko des Therapieausfalles,11a) Die Dauer einer Therapieeinheit orientiert sich an,"11b) Wieviel Zeit Ihrer Arbeitszeit (Angaben in %) steht Ihnen für Aufgaben wie Teambesprechungen, Dokumentation, Fahrzeit zu Hausbesuchen, Telefonate, Aufräumarbeiten, Vor-/Nachbereitung der Therapie, Praktikumsanleitung, etc. in etwa zur Verfügung?",12a) Nicht als Arbeitszeit gerechnete und nicht vergütete Arbeitsleistungen am Arbeitsplatz,12b) Der Umfang dieser nicht vergüteten Leistungen beträgt etwa (in Wochenstunden),13a) Ich arbeite zusätzlich zu meinem Hauptarbeitsverhältnis,13b) Intention der Nebentätigkeit,14a) An meiner Arbeitsstelle gibt es eine Interessensvertretung,14b) Ich bin Mitglied in einer Gewerkschaft,"15a) größere strukturelle Veränderungen, wie beispielsweise Eigentümerwechsel, Konzernbildung, usw.",15b 2)Stehen die angegebenen „wesentlichen Veränderungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15b) Wesentliche Verschlechterungen der Arbeitsbedingungen in den letzten 2 Jahren,15c 2)Stehen die angegebene „wesentlichen Verbesserungen“ überwiegend im Zusammenhang mit der Corona-Pandemie?,15c) Wesentliche Verbesserungen der Arbeitsbedingungen in den letzten 2 Jahren,18a) Welche Serviceleistungen des DVE für Angestellte sind Ihnen bekannt?,18b) Welche Serviceleistungen des DVE für Angestellte haben Sie im letzten Jahren genutzt?,Anzahl aller wahrgenommen Fortbildungstage in den letzten 12 Monaten,Anzahl der Freistellungstage,Minuten bei Einzeltherapie,Minuten bei Gruppentherapie,Wie beurteilen Sie das Betriebsklima in Ihrer Einrichtung insgesamt? Bewerten Sie auf einer Skala von 1 (nahezu unerträglich) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit Vorgesetzen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie beurteilen Sie die Zusammenarbeit mit den Kolleg:innen? Bewerten Sie auf einer Skala von 1 (äußerst schlecht) bis 10 (könnte nicht besser sein).,Wie zufrieden sind Sie insgesamt mit Ihrer aktuellen Arbeitssituation? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,Wie zufrieden sind Sie mit diesen Leistungen gewesen? Bewerten Sie auf einer Skala von 1 (sehr unzufrieden) bis 10 (sehr zufrieden).,"nicht vertraglich festgelegt (flexibel nach Bedarf), ca.: 1-40 Wochenstunden",vertraglich festgelegt (1-40) Wochenstunden
45,ja,20 - 29 Jahre,bis 2 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,ja,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Geriatrie'],28,[' sonntags'],JA,wahlweise Freizeit/Bezahlung,nein,ja,ja,teilweise,nein,Festgehalt,Haustarifvertrag,"1750,-  –  1999,- €",nein,nein,trifft für mich nicht zu,"keine Vorgaben, individuell frei gestaltbar",15 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,ja,nein,[' Personalabbau'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' Broschüre Stellenbeschreibung'],[' Broschüre Stellenbeschreibung'],5.0,5.0,,,5,7,8,5,7,,
46,ja,20 - 29 Jahre,3 - 6 Jahre,weiblich,Bremen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Pädiatrie']",35,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","2750,-  –  2999,- €",nein,ja,,der Heilmittel-Richtlinie,10 %,"[' Fahrtzeit zum Hausbesuch', ' Vor- und Nachbereit', ' Dokumentation/Berichte schreiben', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.']",5.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],12.0,,,,6,6,6,4,7,,
47,ja,50 - 59 Jahre,über 20 Jahre,weiblich,Niedersachsen,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie']",35,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,nein,,,nein,Festgehalt,angelehnt an einen Tarif,"3000,-  –  3249,- €",nein,ja,,der Heilmittel-Richtlinie,15 %,"[' Dokumentation/Berichte schreiben', ' Praktikumsanleitung']",1.0,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,"[' Personalabbau', ' anderes Patientenklientel']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],,,,,7,7,7,7,8,,
48,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Sachsen,Berufsfachschule,"angestellt geringfügig (bis 520,-€)",dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Pädiatrie'],10,[' trifft nicht zu'],,Ausgleich über Bezahlung,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","520,-€",nein,ja,,der Heilmittel-Richtlinie,5 %,"[' Vor- und Nachbereit', ' Praktikumsanleitung', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",2.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],,,,,7,6,4,6,8,,
49,ja,20 - 29 Jahre,bis 2 Jahre,weiblich,Mecklenburg-Vorpommern,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",35,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,Haustarifvertrag,"1250,-  –  1499,- €",ja,nein,,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,fachfremd,ja,Betriebsrat,nein,nein,nein,[' Personalabbau'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],3.0,,,,4,2,6,7,8,,
50,nein,60 plus Jahre,über 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Schule f. Ergoth./Hochschule,"[' Arbeitstherapie', ' Psychiatrie/Sucht/Forensik']",20,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",nein,nein,trifft für mich nicht zu,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,fachfremd,nein,nein,nein,nein,nein,[' Sonstige'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],3.0,5.0,,,8,9,8,9,7,,
51,nein,40 - 49 Jahre,11 - 20 Jahre,weiblich,Bayern,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Pädiatrie', ' Sonstiger']",16,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,ja,Festgehalt,"nein, frei verhandelt","1000,-  –  1249,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' mehr Personal', ' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' Newsletter des Fachausschuss für Angestellte'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],,,,,9,8,8,8,1,,
52,ja,30 - 39 Jahre,11 - 20 Jahre,weiblich,Berlin,Bachelor / Diplom,Teilzeit,aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",28,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",ja,nein,,der Heilmittel-Richtlinie,5 %,"[' Vor- und Nachbereit', ' Dokumentation/Berichte schreiben', ' Telefonate/Gespräche mit Angehörigen/anderen Fachpersonen etc.', ' Aufräum-/Reinigungsarbeiten']",3.0,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)']",[' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 18:00-20:00 Uhr)'],,,,,3,2,7,5,3,,
53,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,Fachliche Leitung (Praxis),1 - 5 Mitarbeiter,in zur Verfügung gestellte,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie']",30,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,nein,nein,Festgehalt,"nein, frei verhandelt","2750,-  –  2999,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' Sonstige'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle']",[' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle'],2.0,,,,3,2,3,2,7,,
54,nein,30 - 39 Jahre,3 - 6 Jahre,weiblich,Nordrhein-Westfalen,Bachelor / Diplom,Vollzeit,,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Geriatrie'],38,"[' samstags', ' sonntags', ' feiertags']",Nein,Ausgleich über Freizeit,ja,ja,nein,nein,nein,Festgehalt,TVöD,"3250,-  –  3499,- €",nein,nein,trifft für mich nicht zu,der Heilmittel-Richtlinie,50 %,[' Aufräum-/Reinigungsarbeiten'],2.0,als Ergotherapeut,ja,nein,nein,ja,ja,[' Arbeitsverdichtung'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],3.0,,,,7,7,4,5,9,,
55,nein,40 - 49 Jahre,über 20 Jahre,weiblich,Thüringen,Berufsfachschule,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Reha-Klinik,"[' Geriatrie', ' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",32,"[' samstags', ' feiertags']",JA,Ausgleich über Freizeit,nein,ja,ja,ja,nein,Festgehalt,Haustarifvertrag,"2000,-  –  2249,- €",nein,nein,trifft für mich nicht zu,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,"[' Personalabbau', ' Arbeitsverdichtung']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],1.0,1.0,,,4,5,3,3,3,,
56,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Geriatrie', ' Neurologie', ' Pädiatrie', ' Prävention und GSF']",35,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,"nein, frei verhandelt","2750,-  –  2999,- €",ja,nein,,der Heilmittel-Richtlinie,5 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,ja,"[' Personalabbau', ' keine Veränderungen']",nein,[' Sonstige:'],"[' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],14.0,,,,8,8,8,7,8,,
57,nein,20 - 29 Jahre,3 - 6 Jahre,männlich,Bayern,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Orthopädie/Traumatologie/Rheumatologie', ' Pädiatrie', ' Prävention und GSF']",35,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,"nein, frei verhandelt","2750,-  –  2999,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,[' mehr Personal'],[' Newsletter des Fachausschuss für Angestellte'],[' Newsletter des Fachausschuss für Angestellte'],3.0,4.0,,,10,10,8,9,7,,
58,ja,40 - 49 Jahre,11 - 20 Jahre,weiblich,Baden-Württemberg,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Psychiatrie/Sucht/Forensik'],18,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,nein,,,nein,Festgehalt,"nein, frei verhandelt","1500,-  –  1749,- €",nein,ja,,der Heilmittel-Richtlinie,5 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,"[' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)']",nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' Newsletter des Fachausschuss für Angestellte']","[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",,,,,7,8,8,8,7,,
59,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Nordrhein-Westfalen,Berufsfachschule,Teilzeit,aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie', ' Sonstiger']",25,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,ja,nein,teilweise,nein,gesamtes Gehalt gekoppelt an geleistete Therapieeinheiten,"nein, frei verhandelt","1750,-  –  1999,- €",nein,ja,,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']",[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],2.0,,,,8,9,9,9,7,,
60,nein,30 - 39 Jahre,11 - 20 Jahre,weiblich,Baden-Württemberg,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Sonstige Antwort,[' Psychiatrie/Sucht/Forensik'],20,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,nein,,,ja,Festgehalt,angelehnt an einen Tarif,"1250,-  –  1499,- €",ja,nein,,trifft für mich nicht zu (z.B. als Lehrende/r),20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Broschüre Arbeitsrecht']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",,,,,8,8,8,8,6,,
61,ja,30 - 39 Jahre,11 - 20 Jahre,männlich,Nordrhein-Westfalen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Reha-Klinik,"[' Geriatrie', ' Neurologie', ' Palliativversorgung']",40,"[' samstags', ' sonntags', ' feiertags']",JA,wahlweise Freizeit/Bezahlung,nein,ja,ja,ja,nein,Festgehalt,angelehnt an einen Tarif,"3250,-  –  3499,- €",nein,nein,trifft für mich nicht zu,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),25 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,nein,"[' Arbeitsverdichtung', ' Ausweitung der Arbeitszeit']",nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']",[' Newsletter des Fachausschuss für Angestellte'],5.0,5.0,30.0,45.0,9,9,10,7,9,,
62,ja,30 - 39 Jahre,7 - 10 Jahre,weiblich,Baden-Württemberg,Bachelor / Diplom,Teilzeit,dies ist aus familiären/persönlichen Gründen,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,[' Orthopädie/Traumatologie/Rheumatologie'],24,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,nein,,,nein,Festgehalt,"nein, frei verhandelt","2000,-  –  2249,- €",ja,nein,,der Heilmittel-Richtlinie,15 %,[' Trifft für mich nicht zu'],,fachfremd,nein,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage']",,,,,7,9,10,8,9,,
63,ja,40 - 49 Jahre,über 20 Jahre,weiblich,Baden-Württemberg,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Neurologie', ' Orthopädie/Traumatologie/Rheumatologie']",40,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,nein,teilweise,nein,Festgehalt,Haustarifvertrag,"3250,-  –  3499,- €",ja,nein,,der Heilmittel-Richtlinie,10 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,ja,nein,[' keine Veränderungen'],nein,[' trifft für mich nicht zu / keine Veränderungen'],"[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Individuelle Beratung per Mail/Telefon durch die Geschäftsstelle', ' Individuelle Beratung per Mail/Telefon durch den Fachausschuss für Angestellte', ' telefonische Sprechstunde zur Arbeitsrechtsberatung durch Rechtsanwälte (dienstags 16:30-18:30 Uhr)', ' Newsletter des Fachausschuss für Angestellte']","[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage', ' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage', ' Newsletter des Fachausschuss für Angestellte']",3.0,,,,8,8,8,9,10,,
64,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Hessen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Psychiatrie/Sucht/Forensik'],38,[' trifft nicht zu'],,wahlweise Freizeit/Bezahlung,nein,ja,ja,teilweise,ja,Festgehalt,TVöD,"2500,-  –  2749,- €",ja,nein,,"keine Vorgaben, individuell frei gestaltbar",40 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Betriebsrat,nein,nein,ja,"[' Arbeitsverdichtung', ' anderes Patientenklientel', ' berufsfremde Tätigkeiten', ' Sonstige']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],18.0,5.0,,,6,3,8,6,7,,
65,ja,30 - 39 Jahre,3 - 6 Jahre,weiblich,Rheinland-Pfalz,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Psychiatrie/Sucht/Forensik'],39,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,nein,,,ja,Festgehalt,AVR/KODA/ZKO,"2750,-  –  2999,- €",nein,nein,trifft für mich nicht zu,nach folgenden internen Vorgaben/ Regelungen (bitte Minutenanzahl eingeben),20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Mitarbeitervertretung,nein,ja,ja,"[' Personalabbau', ' Arbeitsverdichtung', ' weniger Unterstützung für Fortbildung (finanziell, dienstfrei)', ' berufsfremde Tätigkeiten']",nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],,,50.0,100.0,7,8,8,8,7,,
66,nein,20 - 29 Jahre,3 - 6 Jahre,weiblich,Niedersachsen,Berufsfachschule,Vollzeit,,nein,nein,trifft für mich nicht zu,,,Praxis/Therapiezentrum,"[' Arbeitstherapie', ' Sonstiger']",35,[' trifft nicht zu'],,Ausgleich über Freizeit,ja,ja,ja,ja,nein,Festgehalt,Haustarifvertrag,"2250,-  –  2499,- €",ja,nein,,der Heilmittel-Richtlinie,20 %,[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,nein,nein,nein,nein,[' keine Veränderungen'],nein,"[' die Bedingungen in meinem Arbeitsvertrag haben sich verbessert (Arbeitszeitverkürzung, mehr Urlaubstage, …)']","[' Broschüre Arbeitsrecht', ' Broschüre Stellenbeschreibung']",[' Broschüre Arbeitsrecht'],4.0,2.0,,,5,8,8,7,5,,
67,ja,60 plus Jahre,über 20 Jahre,weiblich,Baden-Württemberg,Bachelor / Diplom,Teilzeit,aus gesundheitlichen Gründen,nein,nein,trifft für mich nicht zu,,,(Akut-)Krankenhaus,[' Psychiatrie/Sucht/Forensik'],18,[' trifft nicht zu'],,Ausgleich über Freizeit,nein,nein,,,nein,Festgehalt,TVöD,"2750,-  –  2999,- €",ja,nein,,trifft für mich nicht zu (z.B. als Lehrende/r),trifft für mich nicht zu (z.B. als Lehrende/r),[' Trifft für mich nicht zu'],,"trifft für mich nicht zu, keine Nebentätigkeit",,Personalrat,"ja, ver.di",ja,nein,[' Sonstige'],nein,[' trifft für mich nicht zu / keine Veränderungen'],[' regelmäßige Beiträge zu arbeitsrechtlichen Themen in der Fachzeitschrift und auf der Homepage'],[' Merkblätter z.B. zu arbeitsrechtlichen Themen auf der Homepage'],,,,,4,1,1,1,7,,
